techno;name;environment;selectors;min;max;patterns;type;classification
Java;Java.swing;import;;;;javax.swing.JWindow;framework;
Java;Java.swing;import;;;;javax.swing.RowSorter;framework;
Java;Java.swing;import;;;;javax.swing.SpinnerModel;framework;
Java;Java.swing;import;;;;javax.swing.Timer;framework;
Java;Java.swing;import;;;;javax.swing.event.AncestorListener;framework;
Java;Java.swing;import;;;;javax.swing.event.CaretListener;framework;
Java;Java.swing;import;;;;javax.swing.event.CellEditorListener;framework;
Java;Java.swing;import;;;;javax.swing.event.ChangeListener;framework;
Java;Java.swing;import;;;;javax.swing.event.DocumentListener;framework;
Java;Java.swing;import;;;;javax.swing.event.HyperlinkListener;framework;
Java;Java.swing;import;;;;javax.swing.event.InternalFrameListener;framework;
Java;Java.swing;import;;;;javax.swing.event.ListDataListener;framework;
Java;Java.swing;import;;;;javax.swing.event.ListSelectionListener;framework;
Java;Java.swing;import;;;;javax.swing.event.MenuDragMouseListener;framework;
Java;Java.swing;import;;;;javax.swing.event.MenuKeyListener;framework;
Java;Java.swing;import;;;;javax.swing.event.MenuListener;framework;
Java;Java.swing;import;;;;javax.swing.event.MouseInputListener;framework;
Java;Java.swing;import;;;;javax.swing.event.PopupMenuListener;framework;
Java;Java.swing;import;;;;javax.swing.event.RowSorterListener;framework;
Java;Java.swing;import;;;;javax.swing.event.TableModelListener;framework;
Java;Java.swing;import;;;;javax.swing.event.TreeExpansionListener;framework;
Java;Java.swing;import;;;;javax.swing.event.TreeModelListener;framework;
Java;Java.swing;import;;;;javax.swing.event.TreeSelectionListener;framework;
Java;Java.swing;import;;;;javax.swing.event.TreeWillExpandListener;framework;
Java;Java.swing;import;;;;javax.swing.event.UndoableEditListener;framework;
Java;Java.swing;import;;;;javax.swing.plaf.basic.BasicInternalFrameTitlePane;framework;
Java;Java.swing;import;;;;javax.swing.table.AbstractTableModel;framework;
Java;Java.swing;import;;;;javax.swing.table.DefaultTableColumnModel;framework;
Java;Java.swing;import;;;;javax.swing.table.TableColumnModel;framework;
Java;Java.swing;import;;;;javax.swing.table.TableModel;framework;
Java;Java.swing;import;;;;javax.swing.text.AbstractDocument;framework;
Java;Java.swing;import;;;;javax.swing.text.DefaultStyledDocument;framework;
Java;Java.swing;import;;;;javax.swing.text.EditorKit;framework;
Java;Java.swing;import;;;;javax.swing.text.JTextComponent;framework;
Java;Java.swing;import;;;;javax.swing.tree.DefaultTreeModel;framework;
Java;Java.swing;import;;;;javax.swing.tree.TreeModel;framework;
Java;Java.swing;import;;;;javax.swing.undo.UndoableEditSupport;framework;

Java;SWT;import;;;;org.eclipse.swt.events.ControlListener;framework;
Java;SWT;import;;;;org.eclipse.swt.events.DisposeListener;framework;
Java;SWT;import;;;;org.eclipse.swt.events.FocusListener;framework;
Java;SWT;import;;;;org.eclipse.swt.events.HelpListener;framework;
Java;SWT;import;;;;org.eclipse.swt.events.KeyListener;framework;
Java;SWT;import;;;;org.eclipse.swt.events.MouseListener;framework;
Java;SWT;import;;;;org.eclipse.swt.events.MouseMoveListener;framework;
Java;SWT;import;;;;org.eclipse.swt.events.MouseTrackListener;framework;
Java;SWT;import;;;;org.eclipse.swt.events.PaintListener;framework;
Java;SWT;import;;;;org.eclipse.swt.events.SelectionAdapter;framework;
Java;SWT;import;;;;org.eclipse.swt.events.SelectionListener;framework;
Java;SWT;import;;;;org.eclipse.swt.events.TraverseListener;framework;
Java;SWT;import;;;;org.eclipse.swt.widgets.Button;framework;
Java;SWT;import;;;;org.eclipse.swt.widgets.Combo;framework;
Java;SWT;import;;;;org.eclipse.swt.widgets.Control;framework;
Java;SWT;import;;;;org.eclipse.swt.widgets.Dialog;framework;
Java;SWT;import;;;;org.eclipse.swt.widgets.Display;framework;
Java;SWT;import;;;;org.eclipse.swt.widgets.Text;framework;
Java;SWT;import;;;;org.eclipse.swt.widgets.Widget;framework;

Java;JFace;import;;;;org.eclipse.jface.dialogs.Dialog;framework;
Java;JFace;import;;;;org.eclipse.jface.dialogs.DialogPage;framework;
Java;JFace;import;;;;org.eclipse.jface.text.TextViewer;framework;
Java;JFace;import;;;;org.eclipse.jface.viewers.IDoubleClickListener;framework;
Java;JFace;import;;;;org.eclipse.jface.viewers.StructuredViewer;framework;
Java;JFace;import;;;;org.eclipse.jface.viewers.Viewer;framework;

Java;AWT;import;;;;java.awt.Button;framework;
Java;AWT;import;;;;java.awt.Component;framework;
Java;AWT;import;;;;java.awt.Container;framework;
Java;AWT;import;;;;java.awt.Frame;framework;
Java;AWT;import;;;;java.awt.Window;framework;
Java;AWT;import;;;;java.awt.event.ActionListener;framework;
Java;AWT;import;;;;java.awt.event.CaretListener;framework;
Java;AWT;import;;;;java.awt.event.ChangeListener;framework;
Java;AWT;import;;;;java.awt.event.ComponentListener;framework;
Java;AWT;import;;;;java.awt.event.FocusAdapter;framework;
Java;AWT;import;;;;java.awt.event.FocusListener;framework;
Java;AWT;import;;;;java.awt.event.ItemListener;framework;
Java;AWT;import;;;;java.awt.event.KeyListener;framework;
Java;AWT;import;;;;java.awt.event.ListSelectionListener;framework;
Java;AWT;import;;;;java.awt.event.MenuListener;framework;
